word,won,wrong_guesses,repeated_guesses,word_length
slept,False,6,0,5
brisket,True,2,0,7
lacrym,False,6,0,6
phalangides,True,1,0,11
tantalizer,True,0,0,10
dacelo,True,3,0,6
assortedness,True,0,0,12
nonrepetition,True,0,0,13
omnimental,True,3,0,10
multicorneal,True,5,0,12
underpropper,True,2,0,12
wordmongery,True,2,0,11
bedaub,True,2,0,6
strain,False,6,0,6
jungermannia,False,6,0,12
doghearted,False,6,0,10
luxuriation,False,6,0,11
antiquing,True,1,0,9
zymomin,True,4,0,7
splanchnic,True,2,0,10
keralite,True,0,0,8
radiogoniometer,True,0,0,15
whaling,False,6,0,7
ptarmica,False,6,0,8
candlefish,False,6,0,10
arbitragist,True,1,0,11
precentory,True,2,0,10
jockeyship,True,4,0,10
malist,True,2,0,6
payee,True,2,0,5
cephalobranchiate,True,0,0,17
uncivic,True,2,0,7
keynesian,True,0,0,9
adulterine,True,0,0,10
vacuuma,True,5,0,7
unreplied,True,0,0,9
detriment,True,1,0,9
dislink,True,3,0,7
unseemingly,True,0,0,11
baccated,True,0,0,8
insidious,True,1,0,9
auditorship,True,1,0,11
barwal,True,2,0,6
uintjie,True,1,0,7
superdainty,True,0,0,11
unplaited,True,1,0,9
bonjour,True,3,0,7
acanthopodous,True,2,0,13
preception,True,4,0,10
expressionlessness,True,0,0,18
irrationability,True,1,0,15
tiptilt,True,3,0,7
tagasaste,True,1,0,9
platosammine,True,0,0,12
contragredient,True,1,0,14
cholecystorrhaphy,True,1,0,17
confronte,True,2,0,9
induna,True,1,0,6
radiophonic,True,1,0,11
unwhitened,False,6,0,10
rainworm,True,1,0,8
pillwort,True,2,0,8
nonmandatory,True,2,0,12
labridae,False,6,0,8
hydriatrist,True,1,0,11
lienteric,True,0,0,9
relevancy,True,1,0,9
kamasin,True,2,0,7
minstrelship,True,0,0,12
foregoing,True,1,0,9
juncite,False,6,0,7
microphyte,True,2,0,10
affixer,True,1,0,7
yenite,True,2,0,6
rotative,True,0,0,8
unapprobation,True,1,0,13
multilobed,True,1,0,10
larvae,True,0,0,6
preoccupant,True,5,0,11
unmuddle,False,6,0,8
urbacity,True,4,0,8
factitive,True,0,0,9
minsitive,True,0,0,9
catallactics,True,1,0,12
impartialism,True,1,0,12
muster,True,3,0,6
irrecusably,True,0,0,11
heteromeri,True,0,0,10
chattelize,True,0,0,10
ovatopyriform,False,6,0,13
actress,False,6,0,7
inbringer,True,1,0,9
lupulus,False,6,0,7
querciflorae,True,0,0,12
phelloplastic,True,0,0,13
peever,False,6,0,6
eccaleobion,True,0,0,11
cede,True,4,0,4
kincob,True,3,0,6
parallelepipedal,True,0,0,16
nuptials,True,2,0,8
summerings,True,1,0,10
echinodermatous,False,6,0,15
inclementness,True,0,0,13
mustafina,True,1,0,9
merci,True,1,0,5
chauk,False,6,0,5
riskiness,True,1,0,9
anisometropia,True,0,0,13
equilobed,False,6,0,9
theatrograph,True,1,0,12
laxly,True,3,0,5
unbossed,True,5,0,8
nace,True,3,0,4
mysogynism,True,2,0,10
exophagy,False,6,0,8
cience,True,0,0,6
gnatling,True,1,0,8
alcovinometer,True,0,0,13
nexal,True,1,0,5
sleepland,True,1,0,9
roupet,True,2,0,6
